seed,tasks,workers,noise_bound,policy,mean_wait,mean_completion,makespan,slot_utilization,prediction_mae
15,30,2,0.0,fcfs,56.593198083468046,63.61778890267321,106.35423009440304,0.9907350388841999,0.0
15,30,2,0.0,sjf,25.097304883428595,32.121895702633765,111.29089674140816,0.9467877910347792,0.0
15,30,2,0.25,fcfs,56.593198083468046,63.61778890267321,106.35423009440304,0.9907350388841999,0.9178378347119805
15,30,2,0.25,sjf,25.342348532865717,32.36693935207089,110.36292292154944,0.9547487462159562,0.9178378347119805
15,30,2,0.5,fcfs,56.593198083468046,63.61778890267321,106.35423009440304,0.9907350388841999,1.8356756694239609
15,30,2,0.5,sjf,26.122325053769867,33.146915872975036,108.9557365204032,0.9670795283766084,1.8356756694239609
15,30,2,1.0,fcfs,56.593198083468046,63.61778890267321,106.35423009440304,0.9907350388841999,3.6713513388479218
15,30,2,1.0,sjf,29.517888896782555,36.542479715987724,105.78592304875501,0.9960575022776399,3.6713513388479218
16,30,2,0.0,fcfs,38.665363524218286,44.62750285320826,90.64436322686214,0.9866260487816714,0.0
16,30,2,0.0,sjf,20.410701241632616,26.37284057062259,94.90812958139142,0.9423016798382309,0.0
16,30,2,0.25,fcfs,38.665363524218286,44.62750285320826,90.64436322686214,0.9866260487816714,0.9200787316698389
16,30,2,0.25,sjf,20.669781946186372,26.631921275176346,90.41046136263068,0.9891785595047804,0.9200787316698389
16,30,2,0.5,fcfs,38.665363524218286,44.62750285320826,90.64436322686214,0.9866260487816714,1.8401574633396778
16,30,2,0.5,sjf,21.239380255390383,27.20151958438036,92.92118513060697,0.9624510256638119,1.8401574633396778
16,30,2,1.0,fcfs,38.665363524218286,44.62750285320826,90.64436322686214,0.9866260487816714,3.6803149266793564
16,30,2,1.0,sjf,25.43794944040544,31.400088769395417,91.30797202252933,0.9794554402411123,3.6803149266793564
17,30,2,0.0,fcfs,49.33363091372879,55.55640536756026,93.8837592553128,0.9942253862420825,0.0
17,30,2,0.0,sjf,23.91315887318843,30.135933327019902,98.47838885012851,0.9478385856771685,0.0
17,30,2,0.25,fcfs,49.33363091372879,55.55640536756026,93.8837592553128,0.9942253862420825,0.6569275700863176
17,30,2,0.25,sjf,24.053992345503595,30.276766799335064,96.21655688405136,0.9701201106162649,0.6569275700863176
17,30,2,0.5,fcfs,49.33363091372879,55.55640536756026,93.8837592553128,0.9942253862420825,1.313855140172635
17,30,2,0.5,sjf,24.28610956330626,30.50888401713773,96.36640746362366,0.9686115656299276,1.313855140172635
17,30,2,1.0,fcfs,49.33363091372879,55.55640536756026,93.8837592553128,0.9942253862420825,2.62771028034527
17,30,2,1.0,sjf,25.70749570639151,31.930270160222978,95.9205667524524,0.9731136915440044,2.62771028034527
18,30,2,0.0,fcfs,32.20582372228714,36.82324966425574,73.52941733997369,0.9419548207391488,0.0
18,30,2,0.0,sjf,16.52418391752993,21.14160985949853,73.65437441434099,0.9403567633322174,0.0
18,30,2,0.25,fcfs,32.20582372228714,36.82324966425574,73.52941733997369,0.9419548207391488,0.6295502530770369
18,30,2,0.25,sjf,16.724819147704416,21.342245089673018,74.06153869714902,0.9351870126915846,0.6295502530770369
18,30,2,0.5,fcfs,32.20582372228714,36.82324966425574,73.52941733997369,0.9419548207391488,1.2591005061540737
18,30,2,0.5,sjf,17.283934649252394,21.90136059122099,78.48660028117057,0.8824613230972781,1.2591005061540737
18,30,2,1.0,fcfs,32.20582372228714,36.82324966425574,73.52941733997369,0.9419548207391488,2.5182010123081473
18,30,2,1.0,sjf,22.52281370250929,27.14023964447789,71.63753019015186,0.9668310583249345,2.5182010123081473
19,30,2,0.0,fcfs,33.28535932761352,38.915667928343204,84.98986832128233,0.9937023162771154,0.0
19,30,2,0.0,sjf,18.339561354079983,23.969869954809667,87.7958005311635,0.9619438344430581,0.0
19,30,2,0.25,fcfs,33.28535932761352,38.915667928343204,84.98986832128233,0.9937023162771154,0.7347542666547796
19,30,2,0.25,sjf,18.571029780632205,24.20133838136189,88.57176364088365,0.9535163977694812,0.7347542666547796
19,30,2,0.5,fcfs,33.28535932761352,38.915667928343204,84.98986832128233,0.9937023162771154,1.4695085333095597
19,30,2,0.5,sjf,19.33853521159042,24.96884381232011,87.77224048724342,0.9622020418086478,1.4695085333095597
19,30,2,1.0,fcfs,33.28535932761352,38.915667928343204,84.98986832128233,0.9937023162771154,2.9390170666191184
19,30,2,1.0,sjf,23.782787441077378,29.413096041807062,86.0538597815193,0.9814159321309437,2.9390170666191184
